gene_id	gene_name	candidate_gene	fold_difference	protein_fold_difference
1::BK000554.2|DAA00906.1|	CHLB	FALSE	1.07331936774397	0.328
1::BK000554.2|DAA00906.1|	CHLB	TRUE	2.48020216731836	0.768
1::BK000554.2|DAA00906.1|	CHLB	FALSE	1.98269990649274	0.844
Cre01.g015350.t1.1	POR	FALSE	0.956867674046701	0.938666666666667
Cre01.g015350.t1.1	POR	FALSE	0.694378764520724	0.369666666666667
Cre01.g015350.t1.1	POR	FALSE	0.466122138487034	0.836666666666667
Cre01.g015350.t1.1	POR	FALSE	0.570191684196733	0.320333333333333
Cre01.g015350.t1.1	POR	FALSE	0.598550767968168	0.707
Cre01.g015350.t1.1	POR	FALSE	0.861013294889414	0.484333333333333
Cre07.g325500.t1.1	CHLH	FALSE	1.67528595259561	0.74
Cre07.g325500.t1.1	CHLH	FALSE	1.21418287564784	0.2855
Cre07.g325500.t1.1	CHLH	FALSE	1.18231808088954	0.5445
Cre07.g325500.t1.1	CHLH	FALSE	1.06133993189192	0.245
Cre07.g325500.t1.1	CHLH	FALSE	1.50953918970688	0.568666666666667
Cre07.g325500.t1.1	CHLH	FALSE	1.66347950359466	0.317
Cre01.g006950.t1.3	fructose-bisphosphate aldolase	TRUE	2.07296737350722	1.024
Cre01.g006950.t1.3	fructose-bisphosphate aldolase	FALSE	1.6460892622198	0.902
Cre01.g006950.t1.3	fructose-bisphosphate aldolase	TRUE	3.65604776515337	1.02266666666667
Cre01.g006950.t1.3	fructose-bisphosphate aldolase	FALSE	0.616581467710245	0.7965
Cre01.g006950.t1.3	fructose-bisphosphate aldolase	TRUE	2.08744024051936	0.971333333333333
Cre01.g006950.t1.3	fructose-bisphosphate aldolase	FALSE	1.18523377997403	0.907
Cre01.g016600.t1.2	PSBS1	TRUE	2.93830868207022	2.53
Cre01.g016600.t1.2	PSBS1	FALSE	1.78471678393746	2.41
Cre01.g029300.t1.2	TPI1	FALSE	1.29484889659426	1.01766666666667
Cre01.g029300.t1.2	TPI1	FALSE	1.02719947391927	1.14266666666667
Cre01.g029300.t1.2	TPI1	FALSE	0.821628733173936	1.061
Cre01.g029300.t1.2	TPI1	FALSE	1.51333097067374	1.317
Cre01.g029300.t1.2	TPI1	FALSE	0.888623141194184	1.065
Cre01.g029300.t1.2	TPI1	FALSE	1.05344658366832	1.09466666666667
Cre02.g080900.t1.2	PRX4	FALSE	1.66085526749757	0.888
Cre02.g080900.t1.2	PRX4	FALSE	1.76014006610805	0.861666666666667
Cre02.g080900.t1.2	PRX4	FALSE	0.844250274751108	0.836
Cre02.g080900.t1.2	PRX4	FALSE	1.42596266029884	0.941
Cre02.g080900.t1.2	PRX4	FALSE	1.14153338159128	0.892
Cre02.g082500.t1.3	PSAN	FALSE	0.653924442817408	0.952
Cre02.g082500.t1.3	PSAN	FALSE	0.287046996955721	1.086
Cre02.g082500.t1.3	PSAN	FALSE	0.202521382321921	1.154
Cre02.g087700.t1.2	APX1	FALSE	1.79098280227573	0.988333333333333
Cre02.g087700.t1.2	APX1	FALSE	0.808289444139696	1.134
Cre02.g087700.t1.2	APX1	FALSE	1.33849277869478	1.123
Cre02.g087700.t1.2	APX1	FALSE	0.78735982959322	1.188
Cre02.g087700.t1.2	APX1	FALSE	1.38547574998898	1.0185
Cre02.g087700.t1.2	APX1	FALSE	1.01283903248421	1.073
Cre02.g093450.t1.2	FBA2	FALSE	1.47115383905701	0.754
Cre02.g097800.t1.3	MRP1/ HLA2	FALSE	1.57780657205338	0.829
Cre02.g097800.t1.3	MRP1/ HLA2	TRUE	4.18355680186198	0.7695
Cre02.g097800.t1.3	MRP1/ HLA2	FALSE	0.795161729410328	0.362
Cre02.g097800.t1.3	MRP1/ HLA2	TRUE	3.62933277227211	0.918
Cre02.g114600.t1.2	PRX2	FALSE	1.54546271751266	1.073
Cre02.g114600.t1.2	PRX2	FALSE	0.474426342742581	1.1635
Cre02.g114600.t1.2	PRX2	FALSE	1.12177533334458	1.134
Cre02.g114600.t1.2	PRX2	FALSE	0.524705870199395	1.172
Cre02.g114600.t1.2	PRX2	FALSE	0.976798979125583	1.091
Cre02.g114600.t1.2	PRX2	FALSE	0.70953506929177	1.062
Cre02.g120100.t1.2	RBCS1	FALSE	1.54506030975047	0.961
Cre02.g120100.t1.2	RBCS1	FALSE	0.426643958423106	0.887
Cre02.g120100.t1.2	RBCS1	FALSE	0.745133378699461	1.162
Cre02.g120100.t1.2	RBCS1	FALSE	0.710867622234814	0.715
Cre02.g120100.t1.2	RBCS1	FALSE	0.546389817015489	0.998
Cre02.g120100.t1.2	RBCS1	FALSE	0.567816452210629	1.014
Cre02.g120150.t1.2	RBCS2	FALSE	1.18592555234964	0.944
Cre02.g120150.t1.2	RBCS2	FALSE	0.481122784646681	0.8705
Cre02.g120150.t1.2	RBCS2	FALSE	0.485001894955211	0.688
Cre02.g120150.t1.2	RBCS2	FALSE	0.610649772930302	0.8915
Cre02.g120250.t2.1	STT7	FALSE	1.2040421868146	0.907
Cre02.g120250.t2.1	STT7	FALSE	0.805463220021839	0.73
Cre02.g120250.t2.1	STT7	TRUE	3.29251698659694	0.832
Cre02.g120250.t2.1	STT7	FALSE	0.883562296036797	0.6515
Cre02.g120250.t2.1	STT7	TRUE	2.23813034366638	0.937
Cre02.g120250.t2.1	STT7	FALSE	1.05558257011009	0.8505
Cre02.g143550.t1.2	ELI4	FALSE	1.96167999057857	0.671
Cre03.g149650.t1.3	CCD1	FALSE	1.16208886275165	0.9225
Cre03.g149650.t1.3	CCD1	FALSE	1.74888685289384	0.881
Cre03.g149650.t1.3	CCD1	FALSE	1.98783688462487	1.153
Cre03.g149650.t1.3	CCD1	TRUE	2.25984413020707	1.147
Cre03.g149650.t1.3	CCD1	FALSE	1.58149197435259	1.172
Cre03.g149650.t1.3	CCD1	FALSE	1.75046035876034	1.068
Cre03.g152000.t1.2	MCS	FALSE	1.11701379533013	1.107
Cre03.g152000.t1.2	MCS	FALSE	1.53513608970186	0.922
Cre03.g152000.t1.2	MCS	FALSE	1.6532577090893	0.8365
Cre03.g152000.t1.2	MCS	FALSE	1.15261487791077	1.088
Cre03.g152000.t1.2	MCS	FALSE	1.24056627935262	1.076
Cre03.g156900.t1.2	LHCBM5	FALSE	0.808668382758389	1.047
Cre03.g156900.t1.2	LHCBM5	FALSE	0.196735990163289	1.594
Cre03.g156900.t1.2	LHCBM5	FALSE	0.591970554224892	1.1245
Cre03.g156900.t1.2	LHCBM5	FALSE	0.063886339966305	1.8855
Cre03.g156900.t1.2	LHCBM5	FALSE	0.531674273454051	1.2115
Cre03.g156900.t1.2	LHCBM5	FALSE	0.478837361331402	1.2765
Cre03.g185550.t1.2	SBP1	FALSE	0.582583033109581	1.023
Cre03.g185550.t1.2	SBP1	FALSE	0.736782496526552	0.9945
Cre03.g185550.t1.2	SBP1	FALSE	0.780073238706886	0.982
