gene_id	gene_name	candidate_gene	fold_difference	p_value
Cre01.g000050	RWP.14	FALSE	1.56291039772064	0.0912037010280301
Cre01.g000050	RWP.14	FALSE	1.97029454014374	0.34101312807706
Cre01.g000050	RWP.14	FALSE	0.960762622671993	0.432447158464048
Cre01.g000050	RWP.14	FALSE	2.79535752968118	0.233107268909638
Cre01.g000050	RWP.14	FALSE	1.48313890420967	0.622704621337291
Cre01.g000050	RWP.14	FALSE	1.67033824994209	0.419911945294498
Cre01.g000050	RWP.14	FALSE	2.12023585797631	0.723714190746152
Cre01.g001600	TRAF.16	FALSE	0.417489787358927	0.366574661167145
Cre01.g001600	TRAF.16	FALSE	0.718342231970367	0.509471933507597
Cre01.g001600	TRAF.16	FALSE	0.597937932955194	0.542287237776818
Cre01.g001600	TRAF.16	FALSE	0.530352367439739	0.367173982985872
Cre01.g001600	TRAF.16	FALSE	0.735963934636246	0.751097056407368
Cre01.g001600	TRAF.16	FALSE	0.837569866717305	0.693387933887959
Cre01.g001600	TRAF.16	FALSE	0.704914784653832	0.742879888154413
Cre01.g002250	GNAT.32	FALSE	2.41638144338373	0.355891358286608
Cre01.g002250	GNAT.32	FALSE	2.14686737672736	0.175047982258309
Cre01.g002250	GNAT.32	FALSE	1.9859738585451	0.279821311999415
Cre01.g002250	GNAT.32	FALSE	4.10928422587285	0.13169777930154
Cre01.g002250	GNAT.32	FALSE	2.18991698173773	0.327265293404208
Cre01.g002250	GNAT.32	FALSE	2.38752702655858	0.30628790152506
Cre01.g002250	GNAT.32	FALSE	2.33715891330481	0.674700753465442
Cre01.g003376	Myb.12	FALSE	3.30378635348926	0.0963827143081987
Cre01.g003376	Myb.12	FALSE	2.02319758400662	0.131691533361527
Cre01.g003376	Myb.12	FALSE	1.51273355575814	0.30132523667256
Cre01.g003376	Myb.12	TRUE	3.22611261587178	0.0466387185955645
Cre01.g003376	Myb.12	FALSE	1.11658367569593	0.216965771670378
Cre01.g003376	Myb.12	FALSE	1.59175908458614	0.0929970839060666
Cre01.g003376	Myb.12	FALSE	2.54760245870464	0.671740731426709
Cre01.g004600	RWP.11	FALSE	0.674370296456323	0.345204361184117
Cre01.g004600	RWP.11	FALSE	0.928234960040443	0.57009691688407
Cre01.g004600	RWP.11	FALSE	0.743653986616665	0.434293388201841
Cre01.g004600	RWP.11	FALSE	0.778280853884843	0.339379258758239
